"COMPNAME","pmorigin"
"Racing","Andesite"
"Rackerby","Igneous rock"
"Rad","Mixed"
"Radec","Igneous rock"
"Rader","Sandstone and shale"
"Radercreek","Volcanic and sedimentary rock"
"Radnik","Sandstone"
"Radol","Limestone and dolomite"
"Rafael","Calcareous sandstone"
"Rafter","Igneous rock"
"Raftville","Dolomite"
"Ragamuffin","Quartz-monzonite"
"Raggulch","Conglomerate"
"Raghigh","Sandstone"
"Raghorn","Granite"
"Raglan","Mixed"
"Ragnel","Mixed"
"Ragpie","Welded tuff"
"Ragtown","Mixed"
"Rahm","Limestone"
"Railcity","Andesite"
"Railroad","Basalt"
"Rainbear","Sandstone"
"Rainbolt","Igneous and sedimentary rock"
"Rainbow","Schist"
"Rainbowsend","Granitoid"
"Raindance","Igneous and metamorphic rock"
"Rainey","Igneous rock"
"Raingage","Mudstone"
"Raino","Mixed"
"Rains","Sedimentary rock"
"Rairdent","Mixed"
"Raisio","Metamorphic rock"
"Rake","Limestone"
"Rakied","Basalt"
"Raku","Sedimentary rock"
"Raldridge","Basalt"
"Raleigh","Igneous and metamorphic rock"
"Rallod","Shale"
"Ralls","Basalt"
"Ralock","Basalt"
"Ralore","Shale"
"Ralph","Sandstone and siltstone"
"Ramah","Sandstone"
"Rambla","Igneous and sedimentary rock"
"Ramcreek","Igneous rock"
"Ramelli","Mixed"
"Rammel","Rhyolite"
"Ramo","Basalt"
"Ramona","Granite"
"Ramoth","Granite"
"Ramper","Sandstone and shale"
"Ramps","Sandstone"
"Ramsey","Sandstone"
"Ramshead","Sandstone and siltstone"
"Ramshorn","Limestone"
"Rana","Calcareous shale"
"Ranacker","Limestone"
"Rance","Rock gypsum"
"Rancheria","Granodiorite"
"Ranchos","Sandstone and shale"
"Randado","Calcareous sandstone"
"Randcore","Igneous rock"
"Randman","Igneous, metamorphic and sedimentary rock"
"Randolph","Limestone"
"Randor","Calcareous conglomerate"
"Randsburg","Granite"
"Ranes","Mixed"
"Rangecreek","Shale"
"Rangee","Igneous rock"
"Ranger","Metasedimentary rock"
"Rangertaft","Quartzite"
"Rankor","Schist"
"Ranruff","Sandstone"
"Ransect","Limestone"
"Ranstein","Limestone"
"Rapado","Volcanic rock"
"Raph","Mixed"
"Rapho","Limestone, sandstone, and shale"
"Rapid","Rhyolite"
"Rapidan","Conglomerate"
"Rapidcreek","Igneous and sedimentary rock"
"Raplee","Sandstone"
"Rarden","Shale"
"Raritan","Shale and siltstone"
"Rasalo","Diorite"
"Rasille","Mixed"
"Rasser","Metasedimentary rock"
"Raster","Mixed"
"Ratake","Igneous and metamorphic rock"
"Ratiopeak","Quartzite"
"Ratleflat","Granite"
"Ratliff","Sedimentary rock"
"Raton","Basalt"
"Ratsnest","Tuff"
"Rattlegulch","Granodiorite"
"Rattlesnake Forks","Sedimentary rock"
"Ratto","Basalt"
"Raught","Basalt"
"Rauster","Sandstone"
"Rauzi","Calcareous sandstone"
"Ravalli","Granite and gneiss"
"Ravendale","Volcanic rock"
"Ravendog","Mixed"
"Ravenell","Igneous rock"
"Ravenhole","Sandstone"
"Ravenrock","Greenstone"
"Ravenswood","Volcanic and metamorphic rock"
"Ravia","Granite"
"Ravine","Shale"
"Ravola","Sandstone and shale"
"Rawah","Shale"
"Rawe","Mixed"
"Rawlings","Granite"
"Rawlins","Igneous, metamorphic and sedimentary rock"
"Rawnjay","Igneous and sedimentary rock"
"Rawsonville","Mica schist"
"Rayburn","Sandstone"
"Raydawn","Schist"
"Rayex","Sandstone and shale"
"Rayford","Limestone"
"Raylake","Sandstone and shale"
"Rayne","Shale and siltstone"
"Raynesford","Limestone"
"Raynham","Sandstone and siltstone"
"Raynja","Interbedded sedimentary rock"
"Raynor","Igneous rock"
"Rayohill","Rock gypsum"
"Raypol","Schist"
"Raz","Basalt"
"Razito","Sandstone"
"Razor","Shale"
"Razorba","Sandstone and shale"
"Razorback","Igneous rock"
"Razsun","Shale"
"Raztack","Volcanic rock"
"Readingpeak","Volcanic rock"
"Readington","Shale and siltstone"
"Reagan","Limestone"
"Reakor","Sedimentary rock"
"Real","Limestone"
"Reallis","Volcanic rock"
"Realmcoy","Quartzite"
"Reaville","Sandstone and siltstone"
"Reba","Basic igneous rock"
"Rebarrow","Andesite"
"Rebel","Mixed"
"Recapture","Sandstone and shale"
"Reck","Quartzite"
"Recklor","Sedimentary rock"
"Recluse","Sandstone and shale"
"Red Bay","Sedimentary rock"
"Red Bluff","Metamorphic and sedimentary rock"
"Red Butte","Igneous rock"
"Red Hill","Andesite"
"Red Hills","Limestone, sandstone, and shale"
"Red Hook","Slate"
"Red Point","Interbedded sedimentary rock"
"Red Rock","Igneous and sedimentary rock"
"Redarrow","Shale and siltstone"
"Redbank","Sandstone"
"Redbell","Mixed"
"Redbird","Limestone and sandstone"
"Redbone","Volcanic breccia"
"Redbow","Limestone and siltstone"
"Redbrush","Amphibolite"
"Redbull","Calcareous sandstone"
"Redcameron","Sandstone and siltstone"
"Redcan","Sandstone and shale"
"Redcanyon","Basalt"
"Redcap","Igneous rock"
"Redchief","Igneous rock"
"Redcliff","Metavolcanics"
"Redcloud","Rhyolite"
"Redco","Sandstone and shale"
"Redcone","Dacite"
"Redcreek","Sandstone"
"Redcrest","Siltstone"
"Reddale","Porcellanite"
"Reddies","Igneous and metamorphic rock"
"Redding","Igneous, metamorphic and sedimentary rock"
"Redfeather","Granite"
"Redfern","Basalt"
"Redfield","Limestone, sandstone, and shale"
"Redfish","Igneous rock"
"Redfist","Shale"
"Redflat","Peridotite"
"Redford","Fanglomerate"
"Redgap","Sandstone"
"Redhome","Volcanic rock"
"Redhouse","Sandstone and shale"
"Redington","Calcareous conglomerate"
"Redlake","Mixed"
"Redlands","Sandstone"
"Redlight","Limestone"
"Redlodge","Mixed"
"Redmanson","Limestone"
"Redmond","Basalt"
"Redmore","Basalt"
"Redneedle","Calcareous conglomerate"
"Rednik","Mixed"
"Rednun","Sandstone and shale"
"Redola","Igneous, metamorphic and sedimentary rock"
"Redona","Sandstone and shale"
"Redondo","Tuff"
"Redpeak","Volcanic and sedimentary rock"
"Redpen","Sandstone and shale"
"Redraven","Granite"
"Redridge","Sedimentary rock"
"Redriver","Volcanic rock"
"Redrob","Igneous, metamorphic and sedimentary rock"
"Redrock","Sandstone and shale"
"Redsage","Sedimentary rock"
"Redsands","Sandstone"
"Redslide","Volcanic rock"
"Redsluff","Volcanic rock"
"Redspear","Siltstone"
"Redspoon","Sandstone"
"Redsprings","Glauconitic sandstone"
"Redstoe","Calcareous siltstone"
"Redsun","Limestone and siltstone"
"Redswale","Volcanic rock"
"Redthayne","Sandstone and shale"
"Redtom","Arkose"
"Redtop","Schist"
"Redtough","Volcanic rock"
"Reduff","Tuff"
"Redview","Limestone, sandstone, and shale"
"Redvine","Sedimentary rock"
"Redwohly","Sandstone"
"Redwoodhouse","Mudstone"
"Reebok","Igneous rock"
"Reeder","Mudstone"
"Reedpoint","Sandstone"
"Reedridge","Metamorphic and sedimentary rock"
"Reedsburg","Dolomite"
"Reedsport","Sedimentary rock"
"Reedwest","Shale"
"Reef","Sandstone and shale"
"Reefridge","Sandstone and shale"
"Reese","Basalt"
"Reeves","Rock gypsum"
"Reflection","Rock gypsum"
"Refwater","Sedimentary rock"
"Regan","Sedimentary rock"
"Regent","Shale"
"Reger","Sandstone and siltstone"
"Regnaps","Sandstone"
"Regnier","Sandstone and shale"
"Regracic","Sandstone and shale"
"Rehburg","Sandstone and siltstone"
"Rehm","Sandstone"
"Rehobeth","Rock gypsum"
"Reicess","Sandstone and shale"
"Reichel","Andesite"
"Reiff","Granite"
"Reilloc","Basalt"
"Reilly","Igneous, metamorphic and sedimentary rock"
"Reinach","Sedimentary rock"
"Reinecke","Igneous rock"
"Reinecker","Sandstone"
"Reinhart","Metavolcanics"
"Rekima","Basalt"
"Rekop","Rock gypsum"
"Relay","Gabbro"
"Releep","Granite"
"Reliz","Sandstone"
"Relley","Volcanic rock"
"Relsob","Sandstone"
"Reluctan","Volcanic rock"
"Relyea","Limestone"
"Remainder","Interbedded sedimentary rock"
"Remedios","Sedimentary rock"
"Remlap","Limestone and shale"
"Remmel","Granite"
"Remnoy","Igneous and sedimentary rock"
"Remorris","Sandstone and siltstone"
"Remote","Metasedimentary rock"
"Remunda","Sedimentary rock"
"Renbac","Conglomerate"
"Rencalson","Shale"
"Rencot","Sandstone"
"Rendezvous","Metamorphic and sedimentary rock"
"Rendovy","Volcanic and sedimentary rock"
"Renegade","Sandstone and shale"
"Renfrow","Shale"
"Renha","Limestone and dolomite"
"Renick","Serpentinite"
"Renish","Calcareous sandstone"
"Reno","Mixed"
"Renohill","Sandstone and shale"
"Renox","Limestone, sandstone, and shale"
"Renthin","Shale"
"Rentsac","Calcareous sandstone"
"Rentzel","Sandstone and shale"
"Renvers","Sandstone"
"Reparada","Igneous, metamorphic and sedimentary rock"
"Repkie","Granite and gneiss"
"Repmis","Igneous rock"
"Repp","Argillite"
"Rescue","Granodiorite"
"Resner","Granite"
"Resolana","Conglomerate"
"Resoot","Igneous rock"
"Resort","Igneous and metamorphic rock"
"Reston","Metamorphic rock"
"Ret","Igneous rock"
"Retaw","Sandstone"
"Retriever","Limestone"
"Retsabal","Rock gypsum"
"Retsongulch","Metamorphic rock"
"Retsover","Calcareous sandstone"
"Rettig","Mica schist"
"Reuter","Volcanic rock"
"Reva","Sandstone and siltstone"
"Reventon","Igneous and sedimentary rock"
"Revor","Igneous rock"
"Reward","Calcareous sandstone"
"Rexburg","Basalt"
"Rexford","Sandstone and shale"
"Rexmont","Limestone"
"Rexor","Sandstone and shale"
"Reyab","Limestone"
"Reycreek","Igneous, metamorphic and sedimentary rock"
"Reyes","Sedimentary rock"
"Reywat","Volcanic rock"
"Rhame","Sandstone"
"Rhoades","Shale and siltstone"
"Rhoame","Shale"
"Rhoamett","Shale"
"Rhodhiss","Granite and gneiss"
"Rhone","Sandstone and shale"
"Ribera","Sandstone and shale"
"Ricafied","Limestone and dolomite"
"Ricert","Mixed"
"Rices","Mixed"
"Riceton","Granodiorite"
"Rich","Mixed"
"Richens","Conglomerate"
"Richey","Igneous, metamorphic and sedimentary rock"
"Richfield","Siltstone"
"Richinde","Welded tuff"
"Richland","Interbedded sedimentary rock"
"Richmond","Limestone"
"Richollow","Limestone and dolomite"
"Richsum","Conglomerate"
"Richvale","Limestone and sandstone"
"Richville","Sandstone and shale"
"Ricker","Mica schist"
"Ricketts","Igneous rock"
"Rickman","Sandstone and shale"
"Rickreall","Sedimentary rock"
"Ricot","Mixed"
"Ricrest","Limestone"
"Ridd","Basalt"
"Riddleranch","Basalt"
"Ridge","Sedimentary rock"
"Ridgebury","Schist"
"Ridgecrest","Limestone"
"Ridgeview","Clayey shale"
"Ridley","Greenstone"
"Riedel","Sandstone"
"Riedtown","Sedimentary rock"
"Rienhakel","Mixed"
"Riesel","Mixed"
"Rietbrock","Granite"
"Riflepit","Cherty limestone"
"Rift","Mixed"
"Riggins","Basalt"
"Rigley","Sandstone"
"Rilea","Metasedimentary rock"
"Rileyridge","Metamorphic and sedimentary rock"
"Rillino","Igneous and sedimentary rock"
"Rillito","Welded tuff"
"Rimforest","Granitoid"
"Rimrock","Cinders"
"Rimton","Limestone and sandstone"
"Rimtrail","Granite"
"Rincon","Sedimentary rock"
"Rinconflat","Igneous rock"
"Rindge","Mixed"
"Rinearson","Sedimentary rock"
"Riney","Sandstone and shale"
"Ring","Igneous and sedimentary rock"
"Ringle","Limestone"
"Ringling","Porcellanite"
"Ringo","Shale"
"Rio Arriba","Igneous, metamorphic and sedimentary rock"
"Rio Diablo","Limestone"
"Rio Frio","Limestone"
"Rio King","Igneous rock"
"Rio Piedras","Shale and siltstone"
"Rioconcho","Limestone"
"Riomar","Limestone"
"Rion","Granite and gneiss"
"Rionutria","Limestone and sandstone"
"Riovista","Monzonite"
"Ripcon","Granite"
"Ripgut","Igneous rock"
"Ripley","Mixed"
"Ripon","Limestone and dolomite"
"Ripple","Limestone"
"Rippo","Limestone and dolomite"
"Rippowam","Granite and gneiss"
"Ripsey","Conglomerate"
"Ririe","Basalt"
"Risingwolf","Metasedimentary rock"
"Risley","Sedimentary rock"
"Risue","Basalt"
"Riswold","Basalt"
"Ritchey","Limestone"
"Ritidian","Limestone"
"Ritner","Basalt"
"Ritoazul","Shale"
"Rittel","Shale"
"Ritzville","Basalt"
"Riverbend","Mixed"
"Riverby","Interbedded sedimentary rock"
"Riverhead","Granite and gneiss"
"Riverlost","Andesite"
"Riverrun","Granite and gneiss"
"Riverside","Igneous rock"
"Riverview","Sedimentary rock"
"Rivra","Igneous, metamorphic and sedimentary rock"
"Rixeyville","Metasedimentary rock"
"Riz","Sedimentary rock"
"Rizno","Sandstone"
"Rizozo","Sandstone"
"Rizzo","Igneous rock"
"Roacha","Shale"
"Roadcat","Volcanic rock"
"Roadside","Andesite"
"Roane","Cherty limestone"
"Roanhide","Igneous rock"
"Roanoke","Igneous and metamorphic rock"
"Rob Roy","Igneous rock"
"Robbersfire","Limestone and dolomite"
"Robbscreek","Granodiorite"
"Robco","Sandstone and shale"
"Robertsdale","Sedimentary rock"
"Robertsville","Sedimentary rock"
"Robin","Basalt"
"Robinette","Basalt"
"Robinsonville","Sedimentary rock"
"Robolata","Sandstone and shale"
"Robozo","Igneous and sedimentary rock"
"Robroost","Rock gypsum"
"Robson","Andesite"
"Roca","Volcanic and sedimentary rock"
"Rocconda","Phyllite"
"Rocheport","Limestone"
"Rochester","Granite"
"Rochpah","Tuff"
"Rocio","Sandstone and shale"
"Rock Creek","Basalt"
"Rock River","Igneous, metamorphic and sedimentary rock"
"Rockabin","Granite"
"Rockaway","Granite and gneiss"
"Rockbluff","Sandstone"
"Rockbound","Granodiorite"
"Rockbridge","Glauconitic sandstone"
"Rockcastle","Acid shale"
"Rockcreekbutte","Basalt"
"Rockdam","Sandstone"
"Rockdell","Cherty limestone"
"Rockdirt","Igneous rock"
"Rockerjohn","Granite"
"Rockers","Igneous and metamorphic rock"
"Rockerville","Limestone"
"Rockford","Volcanic rock"
"Rockhill","Quartzite"
"Rockhound","Granitoid"
"Rockhouse","Igneous rock"
"Rockinchair","Sandstone and shale"
"Rockisland","Sedimentary rock"
"Rocklin","Granite"
"Rockly","Basalt"
"Rocko","Quartzite"
"Rockoa","Sandstone"
"Rockpens","Igneous rock"
"Rockrift","Sedimentary rock"
"Rockstripe","Volcanic breccia"
"Rockton","Limestone"
"Rockus","Mudstone"
"Rocky Ford","Limestone"
"Rockybar","Igneous rock"
"Rockybutte","Porcellanite"
"Rockyglen","Sandstone"
"Rockypoint","Sandstone and shale"
"Rockyroad","Basalt"
"Rockysaddle","Mudstone"
"Rodad","Siltstone"
"Rodell","Granite"
"Roden","Sedimentary rock"
"Rodeo","Igneous, metamorphic and sedimentary rock"
"Rodgerpeak","Schist"
"Rodock","Mixed"
"Rodrof","Tuff"
"Roegulch","Granite"
"Roellen","Limestone"
"Roetex","Mixed"
"Rofiss","Shale"
"Rofork","Granite and gneiss"
"Rogan","Sandstone and shale"
"Rogert","Granite"
"Rogerville","Ultramafic rock"
"Rogger","Andesite"
"Rogrube","Shale"
"Rogue","Granite"
"Rohan","Shale"
"Rohnerville","Sedimentary rock"
"Rohonda","Shale"
"Rohrersville","Greenstone"
"Roic","Sedimentary rock"
"Rojo","Volcanic rock"
"Rolesville","Granite and gneiss"
"Rolie","Limestone"
"Rolldown","Volcanic rock"
"Rollins","Metasedimentary rock"
"Roloc","Granite"
"Roloff","Basalt"
"Roman","Granite and gneiss"
"Romanose","Basalt"
"Romberg","Sandstone and shale"
"Rombo","Sandstone and shale"
"Romeo","Limestone"
"Romero","Granite"
"Romia","Sandstone"
"Romine","Igneous and sedimentary rock"
"Romona","Limestone"
"Romound","Shale"
"Rond","Cherty limestone"
"Ronda","Igneous and metamorphic rock"
"Roney","Granodiorite"
"Ronsel","Basalt"
"Ronson","Calcareous sandstone"
"Roop","Volcanic rock"
"Rooset","Sedimentary rock"
"Roosevelt","Granite"
"Roostercomb","Basalt"
"Roostertail","Igneous and metamorphic rock"
"Rootcreek","Siltstone"
"Rootel","Sandstone and shale"
"Roques","Shale"
"Rosalie","Sandstone and shale"
"Rosamond","Granite"
"Rosanky","Sandstone"
"Rosario","Serpentinite"
"Rosati","Limestone"
"Rosced","Igneous rock"
"Roschene","Igneous rock"
"Rose Creek","Mixed"
"Roseberry","Granite"
"Rosebloom","Sedimentary rock"
"Rosebriar","Tuff"
"Rosebud","Sandstone"
"Roseburg","Mixed"
"Rosehaven","Sandstone and siltstone"
"Rosehill","Clayey shale"
"Roseland","Shale"
"Rosella","Sedimentary rock"
"Roselle","Granite"
"Rosenbrock","Siltstone"
"Rosendale","Shale"
"Rosenwall","Sandstone and shale"
"Roshe Springs","Sedimentary rock"
"Rosholt","Granite"
"Rosine","Shale and siltstone"
"Rositas","Mixed"
"Rosman","Igneous and metamorphic rock"
"Rosney","Mixed"
"Ross","Igneous, metamorphic and sedimentary rock"
"Rosseau","Sandstone and shale"
"Rossi","Granite"
"Roswell","Sandstone and shale"
"Rotagilla","Monzonite"
"Rothican","Igneous, metamorphic and sedimentary rock"
"Rothiemay","Limestone, sandstone, and shale"
"Rotinom","Mixed"
"Roto","Limestone"
"Rottulee","Limestone and shale"
"Roubaix","Claystone"
"Roubideau","Sandstone"
"Rouen","Metavolcanics"
"Rouette","Mixed"
"Rough","Shale and siltstone"
"Roughcreek","Limestone"
"Roughlock","Siltstone"
"Roughridge","Tuff breccia"
"Roundabout","Siltstone"
"Roundmeadow","Granite"
"Roundor","Sandstone and siltstone"
"Roundtop","Cherty limestone"
"Roundval","Mixed"
"Roundy","Sandstone and shale"
"Routt","Sandstone and shale"
"Roval","Basalt"
"Rovana","Granite"
"Rowan","Gneiss"
"Rowden","Limestone"
"Rowdy","Sedimentary rock"
"Rowel","Volcanic rock"
"Rowland","Sandstone and shale"
"Roxal","Sandstone and shale"
"Roxana","Sedimentary rock"
"Roxton","Mixed"
"Roy","Igneous rock"
"Royce","Shale"
"Roygorge","Granite"
"Royosa","Sandstone"
"Royst","Basalt"
"Roystone","Basalt"
"Rozara","Granite and gneiss"
"Rozellville","Igneous and metamorphic rock"
"Rozetta","Dolomite"
"Rubias","Mudstone"
"Rubicity","Granite"
"Rubick","Quartzite"
"Rubicon","Sedimentary rock"
"Ruby","Rhyolite"
"Rubycreek","Metasedimentary rock"
"Rubylee","Gneiss"
"Ruch","Metasedimentary rock"
"Ruckles","Volcanic rock"
"Ruclick","Basalt"
"Rudd","Basalt"
"Rudder","Volcanic breccia"
"Rudeen","Rhyolite"
"Ruella","Sedimentary rock"
"Ruesh","Sedimentary rock"
"Rueter","Dolomite"
"Rufus","Metamorphic rock"
"Rugar","Sedimentary rock"
"Ruggedridge","Sedimentary rock"
"Ruhe","Mixed"
"Ruidoso","Igneous and sedimentary rock"
"Ruinpoint","Sandstone"
"Ruins","Arkose"
"Ruiz","Sandstone"
"Ruko","Shale"
"Rumblecreek","Quartzite"
"Rumbo","Basic igneous rock"
"Rumford","Sedimentary rock"
"Rumney","Granite and gneiss"
"Rumpah","Mixed"
"Rumple","Limestone"
"Rumsey","Limestone"
"Rumung","Schist"
"Rune","Limestone, sandstone, and shale"
"Runeberg","Limestone"
"Runge","Sandstone"
"Runlett","Limestone, sandstone, and shale"
"Runningsprings","Granitoid"
"Runyon","Volcanic rock"
"Rupley","Igneous, metamorphic and sedimentary rock"
"Ruprecht","Sedimentary rock"
"Rusbach","Tuff"
"Rush","Interbedded sedimentary rock"
"Rushford","Interbedded sedimentary rock"
"Rushtown","Shale and siltstone"
"Ruson","Shale"
"Russ","Mixed"
"Russell","Limestone and shale"
"Russian","Sedimentary rock"
"Russiroks","Igneous and metamorphic rock"
"Russler","Sedimentary rock"
"Rustico","Igneous and sedimentary rock"
"Rustigate","Mixed"
"Rustlerpeak","Igneous rock"
"Ruston","Sedimentary rock"
"Rustybutte","Metasedimentary rock"
"Rutab","Basalt"
"Rutan","Sedimentary rock"
"Rutersville","Sandstone and shale"
"Rutherford","Welded tuff"
"Ryallen","Igneous rock"
"Ryan Park","Sandstone"
"Ryark","Metamorphic and sedimentary rock"
"Ryde","Igneous, metamorphic and sedimentary rock"
"Ryder","Limestone and shale"
"Rydolph","Igneous, metamorphic and sedimentary rock"
"Ryedraw","Sandstone and shale"
"Ryegate","Sandstone"
"Ryepatch","Mixed"
"Ryer","Igneous rock"
"Ryker","Limestone"
"Ryman","Sandstone and shale"
"Ryorp","Sandstone"
"Rypod","Igneous rock"
"Sabana","Volcanic rock"
"Sabana Seca","Igneous rock"
"Sabatka","Acid shale"
"Sabe","Igneous and metamorphic rock"
"Sabenyo","Limestone"
"Sabies","Mixed"
"Sabine","Igneous, metamorphic and sedimentary rock"
"Sable","Calcareous shale"
"Sabroso","Sandstone and shale"
"Sacahuista","Limestone and dolomite"
"Sacatar","Granitoid"
"Sach","Sedimentary rock"
"Sacheen","Granite"
"Sachett","Granite"
"Sackett","Sedimentary rock"
"Saco","Schist"
"Sacramento","Igneous, metamorphic and sedimentary rock"
"Sactus","Igneous rock"
"Sacul","Sandstone and shale"
"Sacville","Shale"
"Saddle","Sandstone and shale"
"Saddleback","Schist and phyllite"
"Saddlebunch","Limestone"
"Saddlehorse","Sedimentary rock"
"Saddlepeak","Phyllite"
"Saddlerock","Volcanic rock"
"Sadie","Basalt"
"Sadler","Sandstone and shale"
"Sadorus","Rhyolite"
"Saemo","Sandstone and shale"
"Safety","Granite"
"Saffell","Sedimentary rock"
"Sag","Basalt"
"Sagaser","Sandstone and shale"
"Sagecreek","Sedimentary rock"
"Sagedale","Shale"
"Sagehen","Welded tuff"
"Sagers","Sandstone and shale"
"Sagle","Granite"
"Sagley","Sedimentary rock"
"Sagouspe","Mixed"
"Sagrlite","Sandstone and shale"
"Saguaro","Limestone"
"Sahaptin","Basalt"
"Said","Volcanic rock"
"Saido","Rock gypsum"
"Sailboat","Igneous, metamorphic and sedimentary rock"
"Sailes","Sandstone and shale"
"Saint Maries","Quartzite"
"Saipan","Limestone"
"Salacoa","Interbedded sedimentary rock"
"Salado","Limestone"
"Saladon","Basalt"
"Salamander","Mixed"
"Salander","Igneous rock"
"Salas","Igneous and sedimentary rock"
"Salcreek","Metasedimentary rock"
"Saleratus","Mixed"
"Salhouse","Volcanic rock"
"Salinas","Sedimentary rock"
"Salisbury","Basalt"
"Sallisaw","Sandstone and shale"
"Sallyann","Greenstone"
"Salmon","Siltstone"
"Salmoncreek","Siltstone"
"Salmonfalls","Serpentinite"
"Salt Chuck","Granite"
"Salt Lake","Limestone"
"Saltair","Mixed"
"Saltmount","Volcanic rock"
"Saltos","Sandstone"
"Saltydog","Tuff"
"Saluda","Granite and gneiss"
"Salvisa","Limestone"
"Samala","Sandstone and shale"
"Sambrito","Sandstone"
"Samday","Shale"
"Samoa","Mixed"
"Samoist","Shale"
"Samor","Limestone"
"Sampsel","Shale"
"Sampson","Igneous and sedimentary rock"
"Samsil","Shale"
"Samsriver","Sedimentary rock"
"San Andreas","Sandstone"
"San Anton","Igneous, metamorphic and sedimentary rock"
"San Antonio","Mixed"
"San Benito","Sandstone and shale"
"San Emigdio","Sedimentary rock"
"San German","Limestone"
"San Joaquin","Granite"
"San Jon","Sandstone and shale"
"San Jose","Sandstone and shale"
"San Luis","Basalt"
"San Mateo","Sandstone and shale"
"San Miguel","Metavolcanics"
"San Saba","Limestone"
"San Sebastian","Limestone"
"San Simeon","Sandstone"
"San Timoteo","Calcareous sandstone"
"San Ysidro","Sedimentary rock"
"Sancajo","Siltstone"
"Sancarlos","Siltstone"
"Sanchez","Sandstone"
"Sandall","Limestone"
"Sandark","Sandstone"
"Sandbench","Calcareous sandstone"
"Sandbranch","Sandstone and shale"
"Sandcreek","Volcanic rock"
"Sanderson","Limestone"
"Sandflat","Conglomerate"
"Sandgap","Igneous rock"
"Sandhill","Limestone, sandstone, and shale"
"Sandia","Igneous and sedimentary rock"
"Sanditch","Sandstone"
"Sandland","Conglomerate"
"Sandoval","Shale"
"Sandow","Mixed"
"Sandpan","Limestone and sandstone"
"Sandridge","Igneous and sedimentary rock"
"Sandrock","Volcanic rock"
"Sandur","Mixed"
"Sandusky","Tufa"
"Sandview","Limestone and shale"
"Sandyranch","Sandstone"
"Saneli","Sandstone and shale"
"Sanfeco","Mixed"
"Sanford","Sandstone"
"Sanger","Claystone"
"Sango","Limestone"
"Sanhedrin","Sandstone"
"Sanikara","Graywacke"
"Sanje","Limestone and shale"
"Sankey","Metavolcanics"
"Sanloren","Igneous, metamorphic and sedimentary rock"
"Sanmoss","Igneous rock"
"Sano","Limestone"
"Sanostee","Sandstone and siltstone"
"Sanpedro","Basalt"
"Sanpete","Limestone, sandstone, and shale"
"Sanpitch","Limestone"
"Sansarc","Shale"
"Santa","Metasedimentary rock"
"Santa Clara","Limestone"
"Santa Fe","Igneous, metamorphic and sedimentary rock"
"Santa Isabel","Volcanic and sedimentary rock"
"Santa Lucia","Shale"
"Santa Marta","Serpentinite"
"Santa Ynez","Igneous and sedimentary rock"
"Santana","Igneous, metamorphic and sedimentary rock"
"Santanela","Sedimentary rock"
"Santanoni","Gneiss"
"Santeetlah","Phyllite"
"Santerhill","Serpentinite"
"Santiam","Volcanic and sedimentary rock"
"Santoni","Volcanic and sedimentary rock"
"Santop","Volcanic and sedimentary rock"
"Santrick","Sandstone"
"Santuc","Granite"
"Sanyon","Tuff"
"Sapinero","Rhyolite"
"Sapkin","Basalt"
"Sapphire","Sandstone"
"Sappho","Sedimentary rock"
"Sapwi","Sandstone"
"Saragote","Igneous rock"
"Saralegui","Mixed"
"Saraph","Tuff"
"Saraton","Schist"
"Sarcillo","Sandstone and shale"
"Saria","Interbedded sedimentary rock"
"Sarilda","Volcanic rock"
"Sarkar","Limestone"
"Sarnosa","Calcareous sandstone"
"Saruche","Shale"
"Sarvant","Andesite"
"Sasabe","Mixed"
"Sasalaguan","Sandstone"
"Saseep","Clayey shale"
"Sasquatch","Mudstone"
"Satago","Calcareous shale"
"Satanka","Sedimentary rock"
"Satanta","Sedimentary rock"
"Satin","Mixed"
"Satt","Welded tuff"
"Sattley","Basic volcanic breccia"
"Saturday","Welded tuff"
"Saturn","Igneous rock"
"Satus","Basalt"
"Sauceda","Ignimbrite"
"Saucier","Sedimentary rock"
"Saucito","Sandstone"
"Saugatuck","Granite and gneiss"
"Saugus","Sedimentary rock"
"Saum","Basalt"
"Saunook","Igneous and metamorphic rock"
"Sauratown","Gneiss"
"Saurin","Sandstone and shale"
"Sauter","Basalt"
"Sauvola","Siltstone"
"Sauxhead","Sandstone"
"Sauz","Igneous, metamorphic and sedimentary rock"
"Savage","Sedimentary rock"
"Savageton","Shale"
"Savannah","Sedimentary rock"
"Savar","Sandstone and siltstone"
"Savenac","Volcanic rock"
"Saver","Interbedded sedimentary rock"
"Savo","Shale and siltstone"
"Saw","Granite"
"Sawbuck","Basalt"
"Sawcreek","Sandstone"
"Sawdust","Limestone and sandstone"
"Sawfork","Tuff"
"Sawicki","Basalt"
"Sawmillcan","Limestone"
"Sawpeak","Basalt"
"Sawpit","Igneous rock"
"Sawtelpeak","Sedimentary rock"
"Sawtown","Sandstone and shale"
"Sawyer","Sedimentary rock"
"Saxby","Basalt"
"Say","Granite"
"Saydab","Basalt"
"Sayers","Mixed"
"Sayles","Shale"
"Saypo","Sedimentary rock"
"Sazi","Sandstone"
"Scaath","Sandstone"
"Scairt","Shale and siltstone"
"Scala","Granite"
"Scalade","Igneous rock"
"Scaler","Gneiss"
"Scalerock","Phyllite"
"Scales","Rhyolite"
"Scalplock","Metasedimentary rock"
"Scand","Gneiss"
"Scandard","Sandstone"
"Scaponia","Siltstone"
"Scarboro","Granite"
